Monitor ID,113E,1FD7,20CA,2E9C,3ACF,498F,4BE7,56C3,5D7A,603A,72CA,8E2A,91B8,97D7,A838,A9BE,AnandVihar_DPCC,AshokVihar_DPCC,AyaNagar_IMD,BB4A,BC46,BFDC,BurariCrossing_IMD,C0A7,CBC7,CRRIMathuraRoad_IMD,D385,D804,DF07,DKSSR_DPCC,DTU_CPCB,DwarkaSector8_DPCC,E1F8,E47A,E486,E8E4,EAC8,EastArjunNagar_CPCB,IGIAirport_IMD,IHBAS_CPCB,ITO_CPCB,JNS_DPCC,Jahangirpuri_DPCC,LodhiRoad_IMD,MDCNS_DPCC,MandirMarg_DPCC,Mundaka_DPCC,NSIT_CPCB,NehruNagar_DPCC,OkhlaPhase2_DPCC,Patparganj_DPCC,PunjabiBagh_DPCC,Pusa_DPCC,Pusa_IMD,RKPuram_DPCC,Rohini_DPCC,Shadipur_CPCB,Sirifort_CPCB,SoniaVihar_DPCC,SriAurobindoMarg_DPCC,VivekVihar_DPCC,Wazirpur_DPCC
72CA,12035,17199,20067,14133,14225,13698,12896,13946,21316,20487,0,19081,13786,16787,20768,14567,21154,29609,20244,16186,19795,12300,31929,27071,20551,11341,16125,15456,14039,6882,38252,27082,15254,14331,10502,16752,15680,22320,22709,24994,20535,15952,33817,17379,18839,22944,34512,32519,13961,9377,18807,30193,26272,26271,17348,36156,27237,14335,28951,14884,23981,30774
8E2A,14445,12117,11767,8847,10559,14320,11346,11790,2333,15678,19081,0,6992,12476,19766,13299,26947,25204,1260,11416,23986,10406,28928,10109,15417,17104,12677,12589,14842,14226,30602,11817,15236,11254,25443,12490,9609,25714,9836,28946,21449,16057,29062,16614,18946,19575,23761,17344,16302,15886,23146,22176,18497,18497,11738,28642,19811,12479,29008,9192,28973,25368
91B8,7521,6888,8284,2367,4135,7640,4517,5243,8651,11057,13786,6992,0,6976,14260,6874,20411,21319,8236,5819,17576,3438,24717,16995,10901,10125,6856,6515,8209,7768,28325,13443,8852,4853,18642,6971,4038,19547,9363,22812,15563,9772,25508,10649,13033,14859,22783,19042,9588,8925,16663,19690,15622,15622,6674,26233,16873,6029,23825,3167,22644,21894
97D7,5260,604,3680,4656,3182,3802,4079,2895,13170,4247,16787,12476,6976,0,7397,2473,14736,14510,13509,1160,11689,5165,17790,22425,4169,7638,730,1361,3914,9919,22143,12271,3465,2699,17429,40,3026,13262,7747,16477,8974,3961,18761,4176,6472,7907,17732,16821,5231,8193,10944,13690,9638,9638,1020,20026,10735,2461,16902,3810,16569,15239
A838,9168,7674,8665,11895,10181,7754,10404,9285,20210,4598,20768,19766,14260,7397,0,7726,8951,8871,20731,8541,6030,11733,11308,29534,4931,9465,7408,7767,7223,14620,17809,16406,6057,9499,17303,7392,10418,6572,12817,9528,2227,5138,13049,3821,1942,2818,16111,19161,6854,11419,5845,10815,8080,8080,8035,15785,8322,8485,9577,11140,9983,10155
A9BE,2793,3036,6146,4575,2782,1388,2680,1639,14360,5965,14567,13299,6874,2473,7726,0,13660,15817,14441,2568,10747,4013,18803,23398,6002,5222,1743,1181,1686,7777,23931,14633,1982,2063,15013,2433,3837,12673,10059,15938,8761,2901,20104,3931,6260,9023,19976,19286,3173,5739,9870,15665,11706,11706,3368,21816,12702,846,17262,4107,15797,16734
AnandVihar_DPCC,13190,15226,17141,18206,16431,12772,15911,15225,27867,13368,21154,26947,20411,14736,8951,13660,0,14193,28067,15656,3084,17129,14225,37028,13703,11384,14380,14381,12204,17178,23049,25312,11711,15719,13397,14712,17369,3099,21492,4028,6724,10911,17109,10605,8611,11299,23780,28035,10845,13587,3807,18335,16618,16618,15659,21390,16503,14492,9597,17761,2828,15845
AshokVihar_DPCC,17792,14476,13539,19107,17683,16231,18342,17127,24889,10287,29609,25204,21319,14510,8871,15817,14193,0,25872,15611,12544,19578,3858,33879,10423,18334,14863,15427,15774,23280,9166,17468,14548,17128,25634,14525,17286,11104,15961,11916,9681,13738,4287,12314,10813,6803,10339,17436,15652,20237,13018,5485,7081,7080,14652,7304,5912,16411,6836,18199,13304,1658
AyaNagar_IMD,15662,13123,12554,10036,11722,15494,12553,12957,1614,16547,20244,1260,8236,13509,20731,14441,28067,25872,0,12477,25088,11639,29632,8961,16275,18336,13747,13691,16007,15479,30961,11727,16361,12408,26703,13525,10703,26768,10236,29986,22467,17163,29652,17669,19980,20419,23939,17107,17476,17140,24263,22632,19059,19059,12731,29036,20367,13630,29879,10338,30050,25965
BB4A,5151,1163,3920,3514,2175,3952,3306,2267,12211,5326,16186,11416,5819,1160,8541,2568,15656,15611,12477,0,12637,4227,18927,21418,5216,7756,1276,1434,4225,9305,23098,12120,4099,1864,17523,1159,1878,14299,7528,17531,10062,4767,19847,5198,7542,9050,18424,16935,5671,7982,11851,14580,10500,10500,1175,20983,11646,2164,18058,2653,17574,16298
BC46,10590,12168,14060,15319,13529,9968,13118,12348,24845,10329,19795,23986,17576,11689,6030,10747,3084,12544,25088,12637,0,14380,13370,34043,10662,9180,11361,11399,9383,15075,21659,22288,8774,12810,13448,11667,14385,2525,18419,5513,3842,7929,15990,7538,5532,8577,21515,25190,8120,11451,1030,16074,13947,13947,12599,19847,13976,11589,9412,14824,5080,14143
BFDC,4091,5376,7888,2056,2063,4423,1336,2478,11934,9390,12300,10406,3438,5165,11733,4013,17129,19578,11639,4227,14380,0,22708,20433,9330,6698,4723,4154,5017,5547,27301,14989,5874,2471,15564,5142,3380,16476,10490,19733,12734,6835,23851,7944,10258,12848,22584,20278,6286,5684,13432,18805,14727,14727,5384,25184,15865,3256,21275,2617,19460,20373
BurariCrossing_IMD,20474,17830,17196,22441,20913,19019,21423,20231,28686,13672,31929,28928,24717,17790,11308,18803,14225,3858,29632,18927,13370,22708,0,37717,13852,20590,18058,18570,18508,25926,9188,21292,17314,20308,26813,17801,20683,11354,19798,11064,11433,16425,3086,15051,13170,9888,12993,20941,18138,22659,14081,8926,10938,10938,18051,7973,9761,19474,5011,21562,12619,4515
C0A7,24507,22013,21093,18952,20667,24429,21433,21899,9326,25197,27071,10109,16995,22425,29534,23398,37028,33879,8961,21418,34043,20433,37717,0,24903,27111,22691,22650,24951,23568,37711,17505,25322,21360,34898,22443,19662,35685,17920,38885,31346,26122,37346,26597,28884,28975,30054,21529,26411,25725,33223,29951,26843,26843,21607,35968,28100,22583,38447,19293,38988,33734
